date,equity,cash,market_value,benchmark,daily_return
2025-08-01,1004774.627922075,39687.627922075,965087.0,4054.9286,0.0
2025-08-04,1006969.627922075,39687.627922075,967282.0,4070.7023,0.002184569493498545
2025-08-05,1012717.627922075,39687.627922075,973030.0,4103.45,0.005708215859361321
2025-08-06,1016940.627922075,39687.627922075,977253.0,4113.4852,0.004169967899803284
2025-08-07,1010900.627922075,39687.627922075,971213.0,4114.666,-0.005939383120469488
2025-08-08,1007906.627922075,39687.627922075,968219.0,4104.9669,-0.0029617154419562253
2025-08-11,1034465.627922075,39687.627922075,994778.0,4122.5106,0.02635065517403601
2025-08-12,1043134.627922075,39687.627922075,1003447.0,4143.8252,0.008380172106262629
2025-08-13,1067219.627922075,39687.627922075,1027532.0,4176.5776,0.02308906190563098
2025-08-14,1049049.627922075,39687.627922075,1009362.0,4173.3131,-0.017025548935393764
2025-08-15,1069543.627922075,39687.627922075,1029856.0,4202.3533,0.019535777387952535
2025-08-18,1088042.627922075,39687.627922075,1048355.0,4239.4125,0.01729616213593843
2025-08-19,1093985.627922075,39687.627922075,1054298.0,4223.3741,0.0054621021708956
2025-08-20,1110927.627922075,39687.627922075,1071240.0,4271.3958,0.015486492297142718
2025-08-21,1106419.627922075,39687.627922075,1066732.0,4288.0707,-0.004057870095851346
2025-08-22,1118343.627922075,39687.627922075,1078656.0,4377.9977,0.010777104544316574
2025-08-25,1132497.627922075,39687.627922075,1092810.0,4469.2217,0.012656217325884622
2025-08-26,1138646.627922075,39687.627922075,1098959.0,4452.5905,0.005429591946503498
2025-08-27,1173566.627922075,39687.627922075,1133879.0,4386.1266,0.03066798701518647
2025-08-28,1203799.627922075,39687.627922075,1164112.0,4463.782,0.025761639161068217
2025-08-29,1191831.627922075,39687.627922075,1152144.0,4496.7591,-0.009941853878671192
2025-09-01,1224321.625369165,55448.62536916506,1168873.0,4523.7111,0.027260559869295875
2025-09-02,1154237.625369165,55448.62536916506,1098789.0,4490.4528,-0.05724312839681145
2025-09-03,1148776.625369165,55448.62536916506,1093328.0,4459.8296,-0.00473126146641889
2025-09-04,1096300.625369165,55448.62536916506,1040852.0,4365.2085,-0.04567989880812262
2025-09-05,1136580.625369165,55448.62536916506,1081132.0,4460.3249,0.03674174680547693
2025-09-08,1144710.625369165,55448.62536916506,1089262.0,4467.5733,0.007153034125809921
2025-09-09,1109939.625369165,55448.62536916506,1054491.0,4436.2584,-0.030375362322496602
2025-09-10,1129552.625369165,55448.62536916506,1074104.0,4445.3649,0.017670330486198038
2025-09-11,1173037.625369165,55448.62536916506,1117589.0,4548.0345,0.03849754232193314
2025-09-12,1165248.625369165,55448.62536916506,1109800.0,4521.998,-0.006640025717460474
2025-09-15,1158236.625369165,55448.62536916506,1102788.0,4533.0557,-0.006017599890133729
2025-09-16,1164334.625369165,55448.62536916506,1108886.0,4523.3367,0.005264899992310612
2025-09-17,1194839.625369165,55448.62536916506,1139391.0,4551.023,0.026199512867985053
2025-09-18,1214523.625369165,55448.62536916506,1159075.0,4498.109,0.016474177439435245
2025-09-19,1203795.625369165,55448.62536916506,1148347.0,4501.9195,-0.008833092890011995
2025-09-22,1218283.625369165,55448.62536916506,1162835.0,4522.608,0.01203526553401213
2025-09-23,1227283.625369165,55448.62536916506,1171835.0,4519.7781,0.007387442310301751
2025-09-24,1288577.625369165,55448.62536916506,1233129.0,4566.0708,0.049942815770529725
2025-09-25,1305247.625369165,55448.62536916506,1249799.0,4593.4875,0.012936744881957951
2025-09-26,1286697.625369165,55448.62536916506,1231249.0,4550.0487,-0.014211862668398578
2025-09-29,1323361.625369165,55448.62536916506,1267913.0,4620.0528,0.02849465117298311
2025-09-30,1323106.625369165,55448.62536916506,1267658.0,4640.6935,-0.00019269109449115973
2025-10-09,1337336.1492657852,62500.14926578518,1274836.0,4709.482,0.010754631277467785
2025-10-10,1304874.1492657852,62500.14926578518,1242374.0,4616.8341,-0.02427362785177234
2025-10-13,1271918.1492657852,62500.14926578518,1209418.0,4593.9785,-0.025256075475587725
2025-10-14,1235044.1492657852,62500.14926578518,1172544.0,4539.0644,-0.028990859216283305
2025-10-15,1267026.1492657852,62500.14926578518,1204526.0,4606.2879,0.02589543055526633
2025-10-16,1268164.1492657852,62500.14926578518,1205664.0,4618.4218,0.000898166151234836
2025-10-17,1235304.1492657852,62500.14926578518,1172804.0,4514.2345,-0.025911472122141732
2025-10-20,1251991.1492657852,62500.14926578518,1189491.0,4538.2201,0.01350841410993242
2025-10-21,1278066.1492657852,62500.14926578518,1215566.0,4607.8715,0.0208268245468759
2025-10-22,1260096.1492657852,62500.14926578518,1197596.0,4592.57,-0.014060305102614024
2025-10-23,1254520.1492657852,62500.14926578518,1192020.0,4606.3447,-0.0044250591538185224
2025-10-24,1291976.1492657852,62500.14926578518,1229476.0,4660.6835,0.02985683412252982
2025-10-27,1316991.1492657852,62500.14926578518,1254491.0,4716.0186,0.0193618125336259
2025-10-28,1330506.1492657852,62500.14926578518,1268006.0,4691.973,0.010262027962400833
2025-10-29,1338197.1492657852,62500.14926578518,1275697.0,4747.8378,0.005780506917795192
2025-10-30,1292403.1492657852,62500.14926578518,1229903.0,4709.911,-0.03422066772831289
2025-10-31,1275526.1492657852,62500.14926578518,1213026.0,4640.6676,-0.013058618751886963
2025-11-03,1276993.8441719604,45275.844171960256,1231718.0,4653.4028,0.0011506584220324356
2025-11-04,1261442.8441719604,45275.844171960256,1216167.0,4618.699,-0.012177819079530305
